SL.No ,District ,2006,2007,2008,2009,2010
1,Patna ,1026,1040,1100,1364,1503
2,Nalanda ,679,685,727,1160,1367
3,Bhojpur,643,698,734,825,982
4,Baxur ,818,820,861,1144,1388
5,Rohtas,782,804,932,1103,1177
6,Kaimur ,1668,1668,1678,2747,2864
7,Gaya ,879,883,905,1207,1207
8,Jehanabad,455,487,521,632,776
9,Arwal ,345,345,371,472,472
10,Nawada ,574,574,587,637,939
11,Aurangabad ,655,660,676,1322,1322
12,Saran(chhapra) ,661,661,667,1122,1372
13,Siwan ,695,696,699,741,1055
14,Gopalganj ,777,780,783,901,1212
15,Muzaffarpur ,1123,1128,1131,1284,1367
16,Vaishali ,1042,1042,1047,1250,1250
17,Sitamarhi,884,898,956,1087,1121
18,Sheohar ,611,616,626,626,793
19,E. Champaran ,745,723,723,906,1127
20,W. Champaran ,714,722,731,731,1080
21,Darbhanga ,882,905,854,1079,1231
22,Samastipur ,823,824,833,833,833
23,Madhubani ,621,637,627,789,934
24,Munger,554,698,725,865,884
25,Lakhisarai ,675,724,798,834,891
26,Sheikhpura,809,932,967,1027,1076
27,Jamui ,1182,1190,1256,1281,1359
28,Begusarai ,619,627,637,637,637
29,Khagaria ,158,162,182,282,282
30,Bhagalpur,1199,1218,1258,1751,2237
31,Banka ,1199,1218,1258,1751,2237
32,Saharsa,987,1045,1178,1273,1354
33,Supaul ,490,491,512,512,512
34,Madhepura ,192,195,195,195,195
35,Purnea ,517,522,651,651,772
36,Araria ,177,177,177,247,247
37,Kishanganj ,190,190,190,390,390
38,Katihar ,441,445,451,451,451
,Total ,20503,20626,21135,26712,30398
