Year,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2000-01,2001-02,2002-03,2003-04,2004-05
Araria,886.89,997.93,930.74,1005.23,996.64,1070.77,12.5201547,-6.7329372,8.0033092,-0.8545308,7.4379917
Arwal,263.82,285.24,282.22,286.6,306.42,297.04,8.119172,-1.058758,1.551981,6.915562,-3.061158
Aurangabad,1000.92,1074.53,1114.16,1159.61,1166.92,1143.37,7.3542341,3.6881241,4.0793064,0.6303844,-2.0181332
Banka,681.84,717.57,703.34,774.24,804.49,902.66,5.240232,-1.983082,10.080473,3.907057,12.202762
Begusarai,1747.91,1946.86,1903.94,2204.41,1870.7,2341.95,11.382165,-2.204576,15.781485,-15.138291,25.191105
Bhabhua,681.95,896.47,740.21,776.55,806.52,755.77,31.456852,-17.430589,4.909418,3.859378,-6.292466
Bhagalpur,1551.67,1684.2,1757.42,1887.63,2001.88,2129.27,8.54112,4.347465,7.409157,6.052563,6.363518
Bhojpur,1239.83,1529.77,1484.55,1393.22,1395.24,1372.55,23.3854641,-2.9559999,-6.1520326,0.1449879,-1.6262435
Buxar,761.04,849.41,761.81,808.22,793.2,795.02,11.6117418,-10.3130408,6.0920702,-1.8584049,0.2294503
Champaran..East,1764.31,2279.43,1772.71,2533.98,2066.7,2287.2,29.19668,-22.23012,42.94385,-18.44056,10.66918
Champaran..West,1657.79,2038.19,1844.03,1912.41,1901.3,1996.95,22.9462115,-9.5260991,3.7081826,-0.5809424,5.0307684
Darbhanga,1516.72,2126.33,1788.98,1832.84,1782.71,1976.4,40.192653,-15.865364,2.451676,-2.7351,10.864919
Gaya,1869.33,2016.84,2033.35,2171.14,2259,2245.12,7.8910626,0.8186073,6.7765018,4.046722,-0.6144312
Gopalgang,1020.65,1122.26,1087.71,1070.79,1122.66,1166.47,9.955421,-3.078609,-1.555562,4.844087,3.902339
Jahanabad,457.46,499.27,496.4,509.97,531.64,521.47,9.1395969,-0.5748393,2.7336825,4.2492696,-1.9129486
Jamui,624.65,662.25,643.55,678.19,695.09,742.89,6.019371,-2.823707,5.382643,2.491927,6.876807
Katihar,1191.06,1569.8,1417.85,1625.86,1519.01,1744.11,31.798566,-9.679577,14.670804,-6.571907,14.818862
Khagaria,631.9,694.8,668.87,734.22,757.99,849.49,9.954107,-3.732009,9.770209,3.237449,12.071399
Kisangang,607.44,711.66,654.27,688.08,698.85,762.6,17.15725,-8.064244,5.167591,1.565225,9.122129
Lakhisarai,411.19,448.25,446.66,501.56,495.19,516.29,9.0128651,-0.3547128,12.2912282,-1.2700375,4.2609907
Madhepura,681.41,869.99,738.16,818.26,804.1,885.74,27.674968,-15.153048,10.851306,-1.730501,10.152966
Madhubani,1561.3,2529.11,1905.1,3099.41,1648.35,2598.6,61.98745,-24.67311,62.69015,-46.8173,57.64856
Munger,958.73,996.76,1056.26,1058.4,1140.55,1197.71,3.966706,5.9693407,0.2026016,7.7617158,5.0116172
Muzaffarpur,2395.42,2542.23,2568.71,2773.48,2674.25,3030.51,6.128779,1.041605,7.971706,-3.577816,13.321866
Nalanda,1269.13,1393.03,1336.64,1405.74,1425.31,1408.66,9.762593,-4.04801,5.169679,1.392149,-1.168167
Nawada,810.4,859.67,859.99,931.53,942.44,911.29,6.07971372,0.03722359,8.31870138,1.17119148,-3.3052502
Patna,10355.18,11488.45,11761.9,13552.04,13721.33,15923.88,10.943991,2.380217,15.21982,1.249185,16.052015
Purnia,1225.58,1527.32,1388.96,1451.76,1485.47,1549.85,24.62018,-9.059005,4.521369,2.322009,4.333982
Rohtas,1486.02,1711.35,1691.03,1745.07,1780.25,1864.24,15.163322,-1.187367,3.195685,2.015965,4.717877
Saharsa,827.97,1023.2,904.59,984.5,971.52,1063.62,23.579357,-11.592064,8.833836,-1.318436,9.47999
Samstipur,1666.73,2254.96,1937.7,1904.18,1756.84,2074.98,35.292459,-14.069429,-1.729886,-7.737714,18.10865
Saran,1455.46,1646.46,1568.33,1764.23,1716.05,1830.9,13.122999,-4.745332,12.490994,-2.730936,6.692695
Sekhpura,248.52,262.24,246.83,278.45,284.59,273.45,5.520682,-5.876297,12.810436,2.205064,-3.914403
Sheohar,168.39,226.68,202,207.18,225.61,204.74,34.61607,-10.887595,2.564356,8.895646,-9.250476
Sitamarhi,1118.78,1224.52,1266.27,1358.46,1210.44,1262.8,9.451367,3.409499,7.280438,-10.896162,4.3257
Siwan,1227.12,1257.94,1287.65,1365.32,1370.59,1440.29,2.5115718,2.3617979,6.0319186,0.3859901,5.0854012
Supaul,792.83,829.9,854.29,999.46,853.93,1032.2,4.675656,2.938908,16.993059,-14.560863,20.876418
Vaishali,1382.59,1465.51,1340.18,1723.93,1401.9,1737.73,5.99744,-8.551972,28.634213,-18.679993,23.955346
