S No.,Districts,Population 2011,% Population in 2011,Population 2001,% population in 2001,Rank
1,Patna ,5772804,5.56,4718592,5.69,1
2,Purba Champaran ,5082868,4.9,3939773,4.75,2
3,Muzaffarpur ,4778610,4.6,3746714,4.51,3
4,Madhubani ,4476044,4.31,3575281,4.31,4
5,Gaya ,4379383,4.22,3473428,4.18,5
6,Samastipur ,4254782,4.1,3394793,4.09,6
7,Saran ,3943098,3.8,3248701,3.91,8
8,Pashchim Champaran ,3922780,3.78,3043466,3.67,9
9,Darbhanga ,3921971,3.78,3295789,3.97,7
10,Vaishali ,3495249,3.37,2718421,3.28,10
11,Sitamarhi ,3419622,3.29,2682720,3.23,12
12,Siwan ,3318176,3.2,2714349,3.27,11
13,Purnia ,3273127,3.15,2543942,3.07,13
14,Katihar ,3068149,2.96,2392638,2.88,16
15,Bhagalpur ,3032226,2.92,2423172,2.92,15
16,Rohtas ,2962593,2.85,2464243,2.97,14
17,Begusarai ,2954367,2.85,2349366,2.83,18
18,Nalanda ,2872523,2.77,2370528,2.86,17
19,Araria ,2806200,2.7,2158608,2.6,20
20,Bhojpur ,2720155,2.62,2243144,2.7,19
21,Gopalganj ,2558037,2.46,2152638,2.59,21
22,Aurangabad ,2511243,2.42,2013055,2.43,22
23,Supaul ,2228397,2.15,1732578,2.09,24
24,Nawada ,2216653,2.14,1809696,2.18,23
25,Banka ,2029339,1.95,1608773,1.94,25
26,Madhepura ,1994618,1.92,1526646,1.84,26
27,Saharsa ,1897102,1.83,1508182,1.82,27
28,Jamui ,1756078,1.69,1398796,1.69,29
29,Buxar ,1707643,1.65,1402396,1.69,28
30,Kishanganj ,1690948,1.63,1296348,1.56,30
31,Khagaria ,1657599,1.6,1280354,1.54,31
32,Kaimur (Bhabua) ,1626900,1.57,1275579,1.54,32
33,Munger ,1359054,1.31,1137797,1.37,33
34,Jehanabad ,1124176,1.08,926489,1.12,34
35,Lakhisarai ,1000717,0.96,802225,0.97,35
36,Arwal ,699563,0.67,587826,0.71,36
37,Sheohar ,656916,0.63,515961,0.62,38
38,Sheikhpura ,634927,0.61,525502,0.63,37
