District,Poverty%,Rank
Patna,15.8,38
Nalanda,27.1,30
Rohtas,33.3,25
Kaimur,33.3,26
Bhojpur,24,26
Buxar,24,37
Gaya,38.8,10
Jehnawad,36.6,19
Nawada,45,20
Aurangabad,40.4,7
Munger,25.1,32
Lakhisarai,25.1,33
Shekhpura,25.1,35
Jamui,25.1,34
Khagaria,34.4,23
Begusarai,29.9,27
Saran,25.8,31
Siwan,36.9,18
Gopalganj,38.3,11
E Champaran,38.9,9
W Champaran,35.2,22
Muzaffarpur,33.5,24
Sitamarhi,38.2,13
Sheohar,38.2,13
Vaishali,39,8
Dharbanga,36.5,21
Madhubani,44.9,3
Samastipur,42.3,5
Saharsa,37.5,14
Supaul,37.5,16
Madhepura,36.9,15
Purnia,44.9,4
Araria,49,1
Kishanganj,36.9,17
Katihar,40.6,6
Banka,27.5,28
Bhagalpur,27.5,29
