S No..,Name of District,Male_2005,Female_2005,Total,Male_2010,Female_2010,Total
1,WestChamparan ,54.33,44.88,49.98,57.44,59.32,58.3
2,East Champaran ,51.54,43.31,47.75,53.7,55.1,54.34
3,Sheohar ,47.37,42.96,45.31,48.46,56.1,51.98
4,Sitamarhi* ,47.95,45.85,46.97,43.87,53.85,48.36
5,Madhubani* ,42.7,46.43,44.44,44.17,53.88,48.65
6,Supaul* ,46.75,50.19,48.37,55.53,65.24,60.13
7,Araria ,52.11,53.13,52.59,57.53,63.39,60.3
8,Kishanganj ,53.95,49.63,51.9,57.06,61.07,58.95
9,Purnea ,48.98,49.42,49.19,58.23,62.43,60.21
10,Katihar ,54.92,55.13,55.02,61,63.75,62.29
11,Madhepura* ,43.38,39.68,41.63,55.85,63.5,59.45
12,Saharsa ,43.09,41.47,42.31,50.61,55.15,52.75
13,Darbhanga* ,40.12,46.74,43.2,42.23,53.84,47.58
14,Muzaffarpur ,48.92,49.29,49.09,54.27,60.81,57.3
15,Gopalganj* ,45.94,45.93,45.94,48.78,58.21,53.17
16,Siwan* ,48.44,49.23,48.82,46.7,56.75,51.36
17,Saran ,45.76,45.09,45.44,45.91,52.78,49.08
18,Vaishali ,41.44,53.34,46.2,49.62,58.39,53.61
19,Samastipur ,46.15,49.31,47.63,50.87,58.02,54.21
20,Begusarai* ,46.65,52.39,49.34,51.51,60.83,55.85
21,Khagaria* ,44.92,50.58,47.58,53.5,61.44,57.2
22,Bhagalpur ,47.09,41.87,44.66,50.56,48.59,49.65
23,Banka ,48.75,42.94,46.03,48.55,50.25,49.34
24,Munger ,44.54,39.76,42.37,47.82,45.87,46.94
25,Lakhisarai ,44.11,41.03,42.67,48.37,48.29,48.33
26,Sheikhpura ,37.12,35.98,36.61,50.73,50.46,50.6
27,Nalanda ,42.36,37.28,39.99,49.04,47.95,48.54
28,Patna ,44.74,35.21,40.38,51.21,45.32,48.54
29,Bhojpur ,49.56,41.75,46.03,51.56,49.2,50.51
30,Buxar ,51.74,43.33,47.94,54.77,50.79,52.93
31,Kaimur (Bhabhua) ,57.07,50.88,54.17,59.66,57.65,58.73
32,Rohtas ,53.4,44.55,49.35,55.13,49.27,52.45
33,Arwal ,46.49,36.41,41.79,49.12,45.88,47.65
34,Jahanabad ,43.78,36.47,40.34,51.01,48.41,49.8
35,Aurangabad ,51.39,41.98,47.05,52.27,48.42,50.51
36,Gaya ,42.39,34.6,38.72,52.03,52.27,52.14
37,Nawada ,43.99,38.59,41.45,44.66,46.24,45.4
38,Jamui ,45.23,37.18,41.48,49.57,49.39,49.49
,State Total ,47.03,44.49,45.85,51.11,54.44,52.65
